FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Anatole,Abang,New York Red Bulls,F,68927.00,68927.00
Saad,Abdul-Salaam,New York City FC,D,106480.00,120230.00
Mohammed,Abu,Columbus Crew,M,175008.00,181258.00
Lalas,Abubakar,Columbus Crew,D,68250.04,75750.04
David,Accam,Philadelphia Union,F-M,1250000.04,1250000.04
Kellyn,Acosta,Colorado Rapids,M,280000.00,300000.00
Luciano,Acosta,DC United,F-M,550000.00,652000.00
Danilo,Acosta,Real Salt Lake,M,100000.00,100000.00
Mohammed,Adams,Chicago Fire,M,90000.00,125000.00
Tyler,Adams,New York Red Bulls,M,100000.00,146041.67
Fanendo,Adi,FC Cincinnati,F,1275000.00,1933333.33
Nana,Adjei-Boateng,Colorado Rapids,M,320004.00,361250.00
Francois,Affolter,San Jose Earthquakes,D,200000.04,232650.04
Harrison,Afful,Columbus Crew,D,288099.96,363799.96
Juan,Agudelo,New England Revolution,F,575000.00,602500.00
Abel,Aguilar,FC Dallas,M,272727.24,328127.24
Jose,Aja,Vancouver Whitecaps,D,240000.00,240000.00
Jacob,Akanyirige,San Jose Earthquakes,D,54500.04,56500.04
Ager,Aketxe Barrutia,Toronto FC,M,1190000.04,1295000.04
Tesho,Akindele,FC Dallas,F-M,105000.00,122500.00
Ayo,Akinola,Toronto FC,F,54504.00,140504.00
Fatai,Alashe,FC Cincinnati,M,107992.50,124242.50
Romain,Alessandrini,LA Galaxy,M,1539996.00,1869996.00
Eric,Alexander,Houston Dynamo,M,260004.00,260004.00
Tony,Alfaro,Seattle Sounders FC,D,67500.00,67500.00
RJ,Allen,Orlando City SC,D,90000.00,90000.00
Jordan,Allen,Real Salt Lake,M,225000.00,225000.00
Miguel,Almiron,Atlanta United,M,1912500.00,2297000.00
Osvaldo,Alonso,Seattle Sounders FC,M,1100000.04,1141667.04
Jozy,Altidore,Toronto FC,F,5000000.00,5000000.00
Arturo,Alvarez,Houston Dynamo,M,150000.00,157500.00
Efrain,Alvarez,LA Galaxy,M,67500.00,72233.84
Fabinho,Alves Macedo,Philadelphia Union,D,153000.00,153000.00
Eloi,Amagat,New York City FC,M,240000.00,261250.00
Quincy,Amarikwa,CF Montreal,F,275500.00,289166.67
Mikey,Ambrose,Atlanta United,D,68906.25,68906.25
Vytautas,Andriuskevicius,DC United,D,250000.00,271875.00
Isaac,Angking,New England Revolution,M,67500.00,72500.00
Jalil,Anibaba,New England Revolution,D,90000.00,90000.00
Pablo,Aranguiz,FC Dallas,M,399999.96,459999.96
Victor,Arboleda,Portland Timbers,F-M,54499.92,54499.92
Hugo,Arellano,LA Galaxy,D,75000.00,82573.75
Luis,Argudo,Columbus Crew,M,54500.04,54500.04
Samuel,Armenteros,Portland Timbers,F,600000.00,608333.33
Paul,Arriola,DC United,M,624999.96,663999.96
Yamil,Asad,DC United,M,436363.56,520522.65
Carlos,Ascues,Orlando City SC,D,360000.00,391500.00
Dairon,Asprilla,Portland Timbers,F-M,180000.00,193750.00
Jeff,Attinella,Portland Timbers,GK,114999.96,123999.96
Francis,Atuahene,FC Dallas,F,124999.92,168999.92
Eduard,Atuesta,LAFC,M,450000.00,468000.00
,Auro,Toronto FC,D,200004.00,272504.00
Kwame,Awuah,New York City FC,D-M,55654.20,55654.20
Michael,Azira,CF Montreal,M,125000.00,131625.00
Dominique,Badji,FC Dallas,F,162500.04,168750.04
Corey,Baird,Real Salt Lake,F,54504.00,54504.00
