FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Chris,Armas,Chicago Fire,M,"225000.0","225000.0"
Michael,Banner,Chicago Fire,M,"12900.0","12900.0"
Chad,Barrett,Chicago Fire,F,"41212.5","48712.5"
Cuauhtemoc,Blanco,Chicago Fire,F,"2492316.0","2666778.0"
C.J.,Brown,Chicago Fire,D,"106391.0","106391.0"
Jon,Busch,Chicago Fire,GK,"58008.0","58008.0"
Calen,Carr,Chicago Fire,F,"38000.0","50500.0"
Wilman,Conde,Chicago Fire,D,"144000.0","151500.0"
Thiago,Correa,Chicago Fire,M,"44100.0","44100.0"
Jeff,Curtin,Chicago Fire,D,"12900.0","12900.0"
Jim,Curtin,Chicago Fire,D,"120750.0","120750.0"
Floyd,Franks,Chicago Fire,M,"17700.0","17700.0"
Ivan,Guerrero,Chicago Fire,D-M,"160000.0","187500.0"
Diego,Gutierrez,Chicago Fire,M,"126500.0","126500.0"
Justin,Mapp,Chicago Fire,M,"130000.0","136000.0"
Bruno,Marques,Chicago Fire,M,"12900.0","12900.0"
Jerson,Monteiro,Chicago Fire,F,"17700.0","17700.0"
Nick,Noble,Chicago Fire,GK,"12900.0","12900.0"
Logan,Pause,Chicago Fire,M,"69300.0","69300.0"
Matt,Pickens,Chicago Fire,GK,"32340.0","32340.0"
Brian,Plotkin,Chicago Fire,M,"30000.0","30000.0"
Dasan,Robinson,Chicago Fire,D,"42500.0","42500.0"
Chris,Rolfe,Chicago Fire,F,"70000.0","74700.0"
Jordan,Russolillo,Chicago Fire,D,"12900.0","12900.0"
Gonzalo,Segares,Chicago Fire,D,"48300.0","50800.0"
Bakary,Soumare,Chicago Fire,D,"45000.0","78000.0"
Osei,Telesford,Chicago Fire,D,"36000.0","36625.0"
Paulo,Wanchope,Chicago Fire,F,"240000.0","267500.0"
Daniel,Woolard,Chicago Fire,D,"12900.0","12900.0"
David,Arvizu,Chivas USA,F,"33000.0","40500.0"
Jonathan,Bornstein,Chivas USA,D,"57500.0","57500.0"
Desmond,Brooks,Chivas USA,D,"12900.0","12900.0"
Bobby,Burling,Chivas USA,F-D,"12900.0","12900.0"
Preston,Burpo,Chivas USA,GK,"52491.6","52491.6"
John,Cunliffe,Chivas USA,F,"30000.0","45000.0"
Jorge,Flores,Chivas USA,M,"12900.0","13275.0"
Maykel,Galindo,Chivas USA,F,"72500.0","72500.0"
Brad,Guzan,Chivas USA,GK,"52237.5","67237.5"
Anthony,Hamilton,Chivas USA,F,"17700.0","17700.0"
Jason,Hernandez,Chivas USA,D,"45000.0","45625.0"
Sacha,Kljestan,Chivas USA,M,"70000.0","103000.0"
Carlos,Llamosa,Chivas USA,D,"84000.0","84000.0"
Rodrigo,Lopez,Chivas USA,M,"17700.0","17700.0"
Jesse,Marsch,Chivas USA,M,"100000.0","109375.0"
Francisco,Mendoza,Chivas USA,M,"90000.0","93750.0"
Laurent,Merlin,Chivas USA,M,"60000.0","60000.0"
Justin,Myers,Chivas USA,GK,"12900.0","12900.0"
Paulo,Nagamura,Chivas USA,M,"89250.0","89250.0"
Ramon,Nunez,Chivas USA,M,"100000.0","118000.0"
Orlando,Perez,Chivas USA,D,"70000.0","70000.0"
Ante,Razov,Chivas USA,F,"245000.0","248750.0"
Eder,Robles,Chivas USA,D,"12900.0","12900.0"
Erasmo,Solorzano,Chivas USA,M,"12900.0","12900.0"
Claudio,Suarez,Chivas USA,D,"146991.6","146991.6"
Shavar,Thomas,Chivas USA,D,"70000.0","73750.0"
Lawson,Vaughn,Chivas USA,D,"30000.0","30000.0"
Alex,Zotinca,Chivas USA,D,"67500.0","68750.0"
Brad,Evans,Columbus Crew,F,"17700.0","17700.0"
Jason,Garey,Columbus Crew,F,"41250.0","53750.0"
Bill,Gaudette,Columbus Crew,GK,"30000.0","30000.0"
Eddie,Gaven,Columbus Crew,M,"165000.0","188000.0"
Marcos,Gonzalez,Columbus Crew,D,"156000.0","162250.0"
Ned,Grabavoy,Columbus Crew,M,"45050.25","52550.25"
Andy,Gruenebaum,Columbus Crew,GK,"17700.0","17700.0"
Frankie,Hejduk,Columbus Crew,D,"150000.0","175000.0"
Ezra,Hendrickson,Columbus Crew,D-M,"76650.0","77900.0"
Andy,Herron,Columbus Crew,F,"140000.0","148750.0"
William,Hesmer,Columbus Crew,GK,"30870.0","30870.0"
Ben,Hunter,Columbus Crew,F,"12900.0","12900.0"
Ryan,Junge,Columbus Crew,D,"12900.0","12900.0"
Kei,Kamara,Columbus Crew,F,"33000.0","43000.0"
Chad,Marshall,Columbus Crew,D,"100000.0","123000.0"
Stefani,Miglioranzi,Columbus Crew,M,"70008.0","86258.0"
Alejandro,Moreno,Columbus Crew,F,"120000.0","125000.0"
Brandon,Moss,Columbus Crew,M,"17700.0","17700.0"
Danny,O'Rourke,Columbus Crew,M,"46331.25","56331.25"
Duncan,Oughton,Columbus Crew,D,"72000.0","72000.0"
Andrew,Peterson,Columbus Crew,M,"12900.0","12900.0"
Rusty,Pierce,Columbus Crew,D,"63000.0","64300.0"
Robbie,Rogers,Columbus Crew,F-M,"50000.0","50000.0"
Guillermo Barros,Schelotto,Columbus Crew,F,"150000.0","150000.0"
Danny,Szetela,Columbus Crew,M,"43135.31","48760.31"
Jacob,Thomas,Columbus Crew,M,"84000.0","87750.0"
Ricardo,Virtuoso,Columbus Crew,M,"60000.0","102000.0"
Tim,Ward,Columbus Crew,D,"38456.25","48456.25"
Jed,Zayner,Columbus Crew,D,"33000.0","40500.0"
Mehdi,Ballouchy,Colorado Rapids,M,"70000.0","88000.0"
Jose,Cancela,Colorado Rapids,M,"156000.0","156000.0"
Conor,Casey,Colorado Rapids,F,"180000.0","180000.0"
Colin,Clark,Colorado Rapids,F,"17700.0","17700.0"
Nico,Colaluca,Colorado Rapids,M,"45000.0","78000.0"
Terry,Cooke,Colorado Rapids,M,"147500.0","152500.0"
Bouna,Coundoul,Colorado Rapids,GK,"30000.0","30000.0"
Omar,Cummings,Colorado Rapids,F,"30000.0","30000.0"
John,DiRaimondo,Colorado Rapids,M,"12900.0","12900.0"
Facundo,Erpen,Colorado Rapids,D,"115000.0","115000.0"
Daniel,Gargan,Colorado Rapids,M,"30000.0","30000.0"
Hercules,Gomez,Colorado Rapids,F,"49350.0","49350.0"
Jordan,Harvey,Colorado Rapids,D,"17700.0","17700.0"
Nicolas,Hernandez,Colorado Rapids,F,"130000.0","132400.0"
Justin,Hughes,Colorado Rapids,GK,"12900.0","12900.0"
Ugo,Ihemelu,Colorado Rapids,D,"55000.0","55000.0"
Stephen,Keel,Colorado Rapids,D,"17700.0","17700.0"
Kosuke,Kimura,Colorado Rapids,M,"12900.0","12900.0"
Jovan,Kirovski,Colorado Rapids,F,"200000.0","200000.0"
Nick,LaBrocca,Colorado Rapids,M,"12900.0","12900.0"
Pablo,Mastroeni,Colorado Rapids,M-D,"280000.0","298000.0"
Daniel,Osorno,Colorado Rapids,F,"138000.0","143000.0"
Jacob,Peterson,Colorado Rapids,F,"70000.0","88750.0"
Mike,Petke,Colorado Rapids,D,"126000.0","126000.0"
Brandon,Prideaux,Colorado Rapids,D,"76403.0","76403.0"
Tony,Sanneh,Colorado Rapids,D,"60000.0","60000.0"
Zach,Thornton,Colorado Rapids,GK,"57600.0","57600.0"
Daniel,Wasson,Colorado Rapids,D,"17700.0","17700.0"
Clifton,Wilmes,Colorado Rapids,D,"12900.0","12900.0"
Arturo,Alvarez,FC Dallas,M,"32819.0","46019.0"
Juan Sebastian,Botero,FC Dallas,M,"12900.0","12900.0"
Ray,Burse,FC Dallas,GK,"17700.0","17700.0"
Kenny,Cooper,FC Dallas,F,"80000.0","83000.0"
Andrew,Daniels,FC Dallas,D,"12900.0","12900.0"
Denilson,De Oliveira,FC Dallas,M,"872736.0","879936.0"
Michael,Dello-Russo,FC Dallas,D,"12900.0","12900.0"
Chris,Gbandi,FC Dallas,D,"100000.0","103750.0"
Sandy,Gbandi,FC Dallas,M,"12900.0","12900.0"
Clarence,Goodson,FC Dallas,D,"48378.75","53378.75"
Shaka,Hislop,FC Dallas,GK,"220800.0","220800.0"
Abdus,Ibrahim,FC Dallas,F,"50000.0","83000.0"
Scott,Jones,FC Dallas,M,"12900.0","12900.0"
Dax,McCarty,FC Dallas,M,"33000.0","45500.0"
Roberto,Mina,FC Dallas,F,"80000.0","80000.0"
Drew,Moor,FC Dallas,D,"53350.0","65850.0"
Dominic,Oduro,FC Dallas,F,"30000.0","30000.0"
Ricardo,Pereira,FC Dallas,F,"30000.0","30000.0"
Aaron,Pitchkolan,FC Dallas,M,"17700.0","17700.0"
Bobby,Rhine,FC Dallas,D,"60000.0","62500.0"
Pablo,Ricchetti,FC Dallas,M,"120000.0","126625.0"
Carlos,Ruiz,FC Dallas,F,"325000.0","435000.0"
Dario,Sala,FC Dallas,GK,"110000.0","119875.0"
Marcelo,Saragosa,FC Dallas,M,"67008.0","71883.0"
Adrian,Serioux,FC Dallas,D,"108000.0","120500.0"
Abe,Thompson,FC Dallas,F,"30000.0","30000.0"
Juan Carlos,Toja,FC Dallas,M,"100008.0","100008.0"
David,Wagenfuhr,FC Dallas,D,"30870.0","30870.0"
Blake,Wagner,FC Dallas,D,"33000.0","45500.0"
Anthony,Wallace,FC Dallas,M,"45000.0","78000.0"
Alex,Yi,FC Dallas,D,"30870.0","30870.0"
Nicholas,Addlery,DC United,F,"36000.0","36000.0"
Bryan,Arguez,DC United,M-D,"45000.0","76200.0"
Robert,Boswell,DC United,D,"30870.0","30870.0"
Marc,Burch,DC United,D,"30000.0","30000.0"
Fred,Carreiro da Silva,DC United,M-F,"190008.0","222008.0"
Brian,Carroll,DC United,M,"115000.0","118750.0"
Jeff,Carroll,DC United,M-D,"12900.0","12900.0"
Shawn,Crowe,DC United,GK,"12900.0","12900.0"
Stephen,DeRoux,DC United,M,"12900.0","12900.0"
Rod,Dyachenko,DC United,M,"17700.0","17700.0"
Luciano,Emilio,DC United,F,"265000.0","293125.0"
Cristian,Gomez,DC United,M,"216000.0","218500.0"
Joshua,Gros,DC United,M,"72500.0","75000.0"
Guy,Kpene,DC United,F,"30000.0","30000.0"
Devon,McTavish,DC United,M,"30000.0","30000.0"
Stanton,Mediate,DC United,M-F,"30000.0","30000.0"
Justin,Moose,DC United,M,"17700.0","17700.0"
Jaime,Moreno,DC United,F,"250000.0","275000.0"
Mira,Mupier,DC United,F,"12900.0","12900.0"
Bryan,Namoff,DC United,D,"85000.0","88750.0"
Jay,Nolly,DC United,GK,"36000.0","36000.0"
Brad,North,DC United,F,"12900.0","12900.0"
Ben,Olsen,DC United,M,"155000.0","177500.0"
Troy,Perkins,DC United,GK,"85000.0","87500.0"
Clyde,Simms,DC United,M,"52500.0","53750.0"
Greg,Vanney,DC United,D,"216667.0","236667.0"
Jamil,Walker,DC United,M-F,"30870.0","30870.0"
Corey,Ashe,Houston Dynamo,M,"30000.0","30000.0"
Wade,Barrett,Houston Dynamo,D,"141750.0","141750.0"
Mike,Chabala,Houston Dynamo,M,"17700.0","17700.0"
Brian,Ching,Houston Dynamo,F,"220000.0","220000.0"
Ricardo,Clark,Houston Dynamo,M,"195000.0","195000.0"
Ryan,Cochrane,Houston Dynamo,D,"51149.0","66149.0"
Paul,Dalglish,Houston Dynamo,F,"96000.0","101000.0"
Brad,Davis,Houston Dynamo,M,"120000.0","120000.0"
Dwayne,DeRosario,Houston Dynamo,M,"324999.96","324999.96"
Eric,Ebert,Houston Dynamo,M,"12900.0","12900.0"
Nick,Hatzke,Houston Dynamo,M,"12900.0","12900.0"
